day,max_temp,prec_cover,cloud_cover,solar_energy,sunset,DST,charge_to
Sunday,9.3,4.17,75.1,10.1,0.761574074,FALSE,85.3046875
Monday,14.7,50,86.6,4.9,0.762824074,FALSE,92.140625
Weekday,14,29.17,80.5,7.7,0.764074074,FALSE,47.078125
Weekday,13.5,20.83,62,12.2,0.765324074,FALSE,31.375
Weekday,13.8,20.83,58.3,10.6,0.7665625,FALSE,64
Weekday,12.8,12.5,43.8,11.4,0.767800926,FALSE,36.5625
Saturday,11,58.33,66.5,13.4,0.769050926,FALSE,55.1171875
Sunday,8,29.17,81.6,9.5,0.811956019,TRUE,100
Monday,8.9,4.17,66.6,11.2,0.813194444,TRUE,40.234375
Weekday,7.9,45.83,80.3,2.5,0.81443287,TRUE,100
Weekday,13.9,37.5,84,4.4,0.815671296,TRUE,99
Weekday,14.8,33.33,70.3,11.5,0.816909722,TRUE,67.7265625
Weekday,11.1,75,88.4,5.9,0.818136574,TRUE,98
Saturday,8.9,12.5,90,6.4,0.819375,TRUE,100
Sunday,10.5,20.83,62.4,13.8,0.820613426,TRUE,33
Monday,11.1,0,25.2,18.7,0.821851852,TRUE,2.5390625
Weekday,12.9,0,17.3,20.5,0.823078704,TRUE,0
Weekday,8.9,54.17,89.1,3.9,0.82431713,TRUE,100
Weekday,12,25,69.2,11.4,0.825555556,TRUE,25.265625
Weekday,13.9,4.17,7.3,21.1,0.826782407,TRUE,0
Saturday,14.1,0,61,19.5,0.828020833,TRUE,0
Sunday,13.9,0,85.8,9.4,0.829247685,TRUE,60
Monday,12.8,87.5,75.3,8.1,0.830486111,TRUE,40.08984375
Weekday,11.6,33.33,44.5,13.1,0.831724537,TRUE,39.4921875
Weekday,7.9,54.17,59.3,8.9,0.832951389,TRUE,27.7265625
Weekday,10.9,41.67,63.1,11,0.834189815,TRUE,39
Weekday,8.9,50,81.2,5.9,0.835416667,TRUE,75.5390625
Saturday,12.8,20.83,71.7,10.2,0.836655093,TRUE,61
Sunday,11.9,16.67,89.2,7.7,0.837893519,TRUE,80.421875
Monday,14.2,12.5,73.3,11.7,0.83912037,TRUE,81
Weekday,13.9,0,59,21.5,0.840358796,TRUE,10.28125
Weekday,14,0,57.4,15.2,0.841585648,TRUE,23.28125
Weekday,13.9,8.33,42.9,24.2,0.842824074,TRUE,0
Weekday,11.7,58.33,81.6,9,0.844050926,TRUE,67.2578125
Saturday,12,8.33,63.3,14.2,0.845277778,TRUE,18.140625
Sunday,9.9,33.33,87,5.9,0.84650463,TRUE,100
Monday,9,12.5,75.1,11.5,0.847731481,TRUE,53
Weekday,11.5,0,36.4,23.9,0.848958333,TRUE,3.4453125
Weekday,11,0,75.8,15.4,0.850185185,TRUE,5.1015625
Weekday,11,29.17,76.5,6.8,0.851412037,TRUE,98
Weekday,12.6,12.5,80.9,5.9,0.852627315,TRUE,47.09375
Saturday,17.2,29.17,65,19.4,0.853842593,TRUE,42.1875
Sunday,15.4,50,66.3,14.1,0.85505787,TRUE,48.3984375
Monday,15.1,16.67,62.7,14.1,0.856273148,TRUE,59
Weekday,13.7,0,69.6,14,0.857476852,TRUE,3.984375
Weekday,14,4.17,23.2,21.1,0.858680556,TRUE,11.2578125
Weekday,16,4.17,55.8,20.5,0.859884259,TRUE,9.3046875
Weekday,18,50,64.9,16.8,0.861076389,TRUE,14.1875
Saturday,14.9,62.5,79.9,8.1,0.862268519,TRUE,84
Sunday,19,8.33,64.8,19,0.863449074,TRUE,30.1171875
Monday,15.5,66.67,65.5,4.7,0.86462963,TRUE,87.2578125
Weekday,17.1,37.5,58.2,9.5,0.865798611,TRUE,57
Weekday,15,41.67,40.8,17.3,0.866956019,TRUE,73
Weekday,14.4,45.83,65.6,13.2,0.868113426,TRUE,31.21875
Weekday,12.9,0,86.4,6.6,0.869259259,TRUE,73
Saturday,14.5,0,62.2,19,0.870393519,TRUE,11.2578125
Sunday,19.5,8.33,69.1,19,0.871516204,TRUE,24
Monday,14.4,8.33,51.1,28,0.872638889,TRUE,46
Weekday,15.7,0,31.6,15.2,0.873738426,TRUE,53
Weekday,16,4.17,72.2,13.9,0.874837963,TRUE,37
Weekday,18.9,0,72.4,16.5,0.875914352,TRUE,14.609375
